assessment-organisation-apprenticeship	assessment-organisation	assessment-organisation-standard-code	assessment-organisation-delivery-area	start-date	end-date
242	EPA0060	114	1		
243	EPA0060	88	1		
244	EPA0060	89	1		
245	EPA0060	24	1		
246	EPA0060	167	1		
247	EPA0061	118	1		
248	EPA0061	119	1		
249	EPA0061	96	1		
250	EPA0061	93	1		
251	EPA0061	138	1		
252	EPA0062	93	1		
253	EPA0062	138	1		
254	EPA0063	25	6		
255	EPA0064	85	1		
256	EPA0064	84	1		
257	EPA0065	25	9		
258	EPA0066	133	1		
259	EPA0067	105	1		
260	EPA0068	128	1		
261	EPA0069	157	1		
262	EPA0070	117	1		
263	EPA0071	101	1		
264	EPA0072	119	1		
265	EPA0072	118	1		
266	EPA0072	104	1		
267	EPA0072	105	1		
268	EPA0073	125	1		
269	EPA0074	112	4		
270	EPA0075	25	1		
271	EPA0039	147	1		
272	EPA0014	146	1		
273	EPA0024	119	1		
274	EPA0024	118	1		
275	EPA0041	60	1		
276	EPA0041	63	1		
277	EPA0076	25	1		
278	EPA0076	24	1		
279	EPA0033	140	1		
280	EPA0033	101	1		
281	EPA0014	140	1		
282	EPA0078	25	5		
283	EPA0008	78	1		
284	EPA0001	142	1		
285	EPA0001	154	1		
286	EPA0001	155	1		
287	EPA0001	165	1		
288	EPA0081	25	1		
289	EPA0041	83	1		
290	EPA0041	29	1		
291	EPA0041	32	1		
292	EPA0006	64	1		
293	EPA0006	65	1		
294	EPA0006	66	1		
295	EPA0079	140	1		
296	EPA0080	24	1		
297	EPA0082	36	1		
298	EPA0083	110	1		
299	EPA0084	167	1		
300	EPA0041	31	1		
301	EPA0041	153	1		
302	EPA0041	105	1		
303	EPA0041	48	1		
304	EPA0041	28	1		
305	EPA0014	147	1		
306	EPA0014	7	1		
307	EPA0014	148	1		
308	EPA0014	150	1		
309	EPA0051	163	1		
310	EPA0085	108	1		
311	EPA0077	26	1		
312	EPA0077	155	1		
313	EPA0011	152	1		
314	EPA0039	104	1		
315	EPA0045	131	1		
316	EPA0045	16	1		
317	EPA0045	104	1		
318	EPA0045	105	1		
319	EPA0073	124	1		
320	EPA0058	101	1		
321	EPA0058	147	1		
322	EPA0058	140	1		
323	EPA0071	140	1		
324	EPA0071	147	1		
325	EPA0086	89	1		
326	EPA0014	93	1		
327	EPA0014	143	1		
328	EPA0014	144	1		
329	EPA0014	138	1		
330	EPA0014	96	1		
331	EPA0014	29	1		
332	EPA0014	33	1		
333	EPA0014	104	1		
334	EPA0014	151	1		
335	EPA0014	139	1		
336	EPA0008	93	1		
337	EPA0008	96	1		
338	EPA0039	139	1		
339	EPA0039	169	1		
340	EPA0087	104	6;2;9		
341	EPA0088	47	1		
342	EPA0089	78	1		
343	EPA0090	26	1		
344	EPA0072	140	1		
345	EPA0072	147	1		
346	EPA0072	101	1		
347	EPA0072	111	1		
348	EPA0057	151	1		
349	EPA0091	72	1		
350	EPA0092	25	1		
351	EPA0026	83	1		
352	EPA0041	143	1		
353	EPA0041	104	1		
354	EPA0041	7	1		
355	EPA0041	36	1		
356	EPA0058	119	1		
357	EPA0058	118	1		
358	EPA0045	152	1		
359	EPA0045	54	1		
360	EPA0045	177	1		
361	EPA0045	149	1		
362	EPA0022	169	1		
363	EPA0093	27	1		
364	EPA0094	94	1		
365	EPA0094	95	1		
366	EPA0044	36	1		
367	EPA0044	82	1		
368	EPA0042	102	1		
369	EPA0042	103	1		
370	EPA0042	151	1		
371	EPA0095	139	1		
372	EPA0095	169	1		
373	EPA0095	93	1		
374	EPA0095	138	1		
375	EPA0095	96	1		
376	EPA0002	23			
377	EPA0033	133			
378	EPA0033	55			
379	EPA0096	25	1		
380	EPA0048	36	1		
381	EPA0010	90			
382	EPA0008	180	1		
383	EPA0008	182	1		
384	EPA0008	181	1		
385	EPA0008	135	1		
386	EPA0014	171	1		
387	EPA0016	110	1		
388	EPA0016	109	1		
389	EPA0016	111	1		
390	EPA0097	143	1		
391	EPA0097	144	1		
392	EPA0045	101	1		
393	EPA0045	111	1		
394	EPA0045	146			
395	EPA0061	122	1		
396	EPA0099	110	1		
397	EPA0090	74	1		
398	EPA0098	179	1		
399	EPA0002	162	1		
400	EPA0010	59	1		
401	EPA0026	204	1		
402	EPA0022	196	1		
403	EPA0100	160	1		
404	EPA0101	25	1		
405	EPA0102	163	1		
406	EPA0103	155	1		
407	EPA0104	150	1		
408	EPA0041	101	1		
409	EPA0041	140	1		
410	EPA0041	147	1		
411	EPA0105	110	1		
412	EPA0064	112	1		
413	EPA0064	174	1		
414	EPA0008	155	1		
415	EPA0008	120	1		
416	EPA0008	101	1		
417	EPA0008	140	1		
418	EPA0061	104	1		
419	EPA0061	105	1		
420	EPA0061	196	1		
421	EPA0069	122	1		
422	EPA0069	147	1		
423	EPA0106	203	3		
424	EPA0107	55	1		
425	EPA0108	203	7;8		
426	EPA0038	204a	1		
427	EPA0011	177	1		
428	EPA0050	204a	1		
429	EPA0045	196	1		
430	EPA0045	122	1		
431	EPA0045	172	1		
432	EPA0045	172	1		
433	EPA0045	140	1		
434	EPA0045	209	1		
435	EPA0045	223	1		
436	EPA0053	224	1		
437	EPA0041	144	1		
438	EPA0058	93	1		
439	EPA0058	138	1		
440	EPA0058	139	1		
441	EPA0080	199	1		
442	EPA0080	200	1		
443	EPA0109	86	1		
444	EPA0109	87	1		
445	EPA0110	190	1		
446	EPA0110	191	1		
447	EPA0111	203	8		
448	EPA0112	203	3;4;7		
449	EPA0113	203	3;4;7		
450	EPA0114	203	4;7;8		
451	EPA0116	203	5		
452	EPA0117	203	4		
453	EPA0118	128	1		
454	EPA0119	14	1		
455	EPA0119	221	1		
456	EPA0120	96	3;4;7;8		
457	EPA0121	203	7		
458	EPA0122	203	2;4;7;8		
459	EPA0123	203	1		
460	EPA0124	203	1		
461	EPA0125	175	1		
462	EPA0126	203	3		
463	EPA0127	25	1		
464	EPA0128	203	7		
465	EPA0129	203	2;9;8		
466	EPA0008	196	1		
467	EPA0008	55	1		
468	EPA0008	102	1		
469	EPA0115	203	9		
470	EPA0104	99			
471	EPA0104	102			
472	EPA0086	188	1		
473	EPA0033	196	1		
474	EPA0042	189	1		
475	EPA0132	25	1		
476	EPA0131	119	1		
477	EPA0133	117	1		
478	EPA0134	203	6		
479	EPA0011	130			
480	EPA0105	209			
481	EPA0105	111			
482	EPA0061	103	1		
483	EPA0061	151	1		
484	EPA0061	157	1		
485	EPA0130	224	1		
486	EPA0042	86	1		
487	EPA0042	87	1		
488	EPA0042	123	1		
489	EPA0079	101	1		
490	EPA0014	195	1		
491	EPA0028	250	1		
492	EPA0028	251	1		
493	EPA0028	253	1		
494	EPA0028	254			
495	EPA0048	196	1		
496	EPA0048	190	1		
497	EPA0048	191	1		
498	EPA0135	190	1		
499	EPA0135	191	1		
500	EPA0135	138	1		
501	EPA0137	165	1		
502	EPA0137	93	1		
