assessment-organisation-apprenticeship,assessment-organisation,assessment-organisations-standard-code,assessment-organisation-delivery-area,start-date,end-date
175,EPA0036,49,1,NA,NA
176,EPA0037,80,1,NA,NA
177,EPA0037,79,1,NA,NA
178,EPA0037,68,1,NA,NA
179,EPA0037,104,1,NA,NA
180,EPA0038,117,1,NA,NA
181,EPA0039,93,1,NA,NA
182,EPA0039,96,1,NA,NA
183,EPA0039,101,1,NA,NA
184,EPA0039,140,1,NA,NA
185,EPA0039,122,1,NA,NA
186,EPA0039,138,1,NA,NA
187,EPA0039,105,1,NA,NA
188,EPA0040,65,1,NA,NA
189,EPA0040,64,1,NA,NA
190,EPA0040,66,1,NA,NA
191,EPA0041,8,1,NA,NA
192,EPA0041,62,1,NA,NA
193,EPA0042,101,1,NA,NA
194,EPA0042,119,1,NA,NA
195,EPA0042,93,1,NA,NA
196,EPA0042,138,1,NA,NA
197,EPA0042,96,1,NA,NA
198,EPA0042,118,1,NA,NA
199,EPA0042,122,1,NA,NA
200,EPA0042,104,1,NA,NA
201,EPA0042,105,1,NA,NA
202,EPA0042,110,1,NA,NA
203,EPA0042,109,1,NA,NA
204,EPA0042,111,1,NA,NA
205,EPA0042,140,1,NA,NA
206,EPA0042,147,1,NA,NA
207,EPA0044,1,1,NA,NA
208,EPA0045,129,1,NA,NA
209,EPA0045,130,1,NA,NA
210,EPA0045,137,1,NA,NA
211,EPA0046,55,1,NA,NA
212,EPA0047,92,1,NA,NA
213,EPA0048,105,8,NA,NA
214,EPA0048,104,8,NA,NA
215,EPA0049,94,1,NA,NA
216,EPA0049,95,1,NA,NA
217,EPA0049,35,1,NA,NA
218,EPA0050,117,1,NA,NA
219,EPA0051,46,1,NA,NA
220,EPA0052,39,1,NA,NA
221,EPA0052,40,1,NA,NA
222,EPA0053,122,1,NA,NA
223,EPA0053,105,1,NA,NA
224,EPA0054,119,1,NA,NA
225,EPA0054,122,1,NA,NA
226,EPA0054,118,1,NA,NA
227,EPA0054,105,1,NA,NA
228,EPA0055,114,1,NA,NA
229,EPA0055,107,1,NA,NA
230,EPA0055,88,1,NA,NA
231,EPA0055,89,1,NA,NA
232,EPA0055,24,1,NA,NA
233,EPA0055,167,1,NA,NA
234,EPA0056,104,1,NA,NA
235,EPA0056,105,1,NA,NA
236,EPA0057,156,1,NA,NA
237,EPA0058,122,1,NA,NA
238,EPA0058,96,1,NA,NA
239,EPA0058,105,1,NA,NA
240,EPA0059,24,1,NA,NA
241,EPA0059,89,1,NA,NA
242,EPA0060,114,1,NA,NA
243,EPA0060,88,1,NA,NA
244,EPA0060,89,1,NA,NA
245,EPA0060,24,1,NA,NA
246,EPA0060,167,1,NA,NA
247,EPA0061,118,1,NA,NA
248,EPA0061,119,1,NA,NA
249,EPA0061,96,1,NA,NA
250,EPA0061,93,1,NA,NA
251,EPA0061,138,1,NA,NA
252,EPA0062,93,1,NA,NA
253,EPA0062,138,1,NA,NA
254,EPA0063,25,6,NA,NA
255,EPA0064,85,1,NA,NA
256,EPA0064,84,1,NA,NA
257,EPA0065,25,9,NA,NA
258,EPA0066,133,1,NA,NA
259,EPA0067,105,1,NA,NA
260,EPA0068,128,1,NA,NA
261,EPA0069,157,1,NA,NA
262,EPA0070,117,1,NA,NA
263,EPA0071,101,1,NA,NA
264,EPA0072,119,1,NA,NA
265,EPA0072,118,1,NA,NA
266,EPA0072,104,1,NA,NA
267,EPA0072,105,1,NA,NA
268,EPA0073,125,1,NA,NA
269,EPA0074,112,4,NA,NA
270,EPA0075,25,1,NA,NA
271,EPA0039,147,1,NA,NA
272,EPA0014,146,1,NA,NA
273,EPA0024,119,1,NA,NA
274,EPA0024,118,1,NA,NA
275,EPA0041,60,1,NA,NA
276,EPA0041,63,1,NA,NA
277,EPA0076,25,1,NA,NA
278,EPA0076,24,1,NA,NA
279,EPA0033,140,1,NA,NA
280,EPA0033,101,1,NA,NA
281,EPA0014,140,1,NA,NA
