"","assessment_organisation_standard_code","standard_name","last_date_start","start_date","end_date"
"127","127","Electrical Power Protection and Plant Commissioning Engineer","",NA,NA
"128","128","Associate Project Manager","",NA,NA
"129","129","Food and Drink Advanced Process Operator","",NA,NA
"130","130","Food and Drink Process Operator","",NA,NA
"131","131","Food Technologist","",NA,NA
"132","132","Non-destructive Testing (NDT) Operator","",NA,NA
"133","133","Assistant Accountant","",NA,NA
"134","134","Bus and Coach Engineering Technician","",NA,NA
"135","135","Heavy Vehicle Service and Maintenance Technician","",NA,NA
"136","136","Bus and Coach Engineering Manager","",NA,NA
"137","137","Furniture Manufacturer","",NA,NA
"138","138","Hospitality Supervisor","",NA,NA
"139","139","Senior Chef Production Cooking","",NA,NA
"140","140","Retail Team Leader","",NA,NA
"141","141","Aviation Maintenance Mechanic (Military)","",NA,NA
"142","142","IT Technical Salesperson","",NA,NA
"143","143","Compliance / Risk Officer","",NA,NA
"144","144","Senior Compliance / Risk Specialist","",NA,NA
"145","145","Sports Turf Operative","",NA,NA
"146","146","Maintenance and Operations Engineering Technician","",NA,NA
"147","147","Retail Manager","",NA,NA
"148","148","Advanced Credit Controller / Debt Collection Specialist","",NA,NA
"149","149","Advanced Dairy Technologist","",NA,NA
"150","150","Healthcare Science Associate","",NA,NA
"151","151","Senior Healthcare Support Worker","",NA,NA
"152","152","Advanced Butcher","",NA,NA
"153","153","Financial Adviser","",NA,NA
"154","154","Software Development Technician","",NA,NA
"155","155","Unified Communications Technician","",NA,NA
"156","156","Associate Ambulance Practitioner","",NA,NA
"157","157","Hair Professional","",NA,NA
"158","158","Spectacle Maker","",NA,NA
"159","159","Event Assistant","",NA,NA
"160","160","Composites Technician","",NA,NA
"161","161","Power Engineer","",NA,NA
"162","162","Facilities Management Supervisor","",NA,NA
"163","163","Nuclear Technician","",NA,NA
"164","164","Building Services Engineering Installer","",NA,NA
"165","165","IS Business Analyst","",NA,NA
"166","166","Postgraduate Engineer","",NA,NA
"167","167","Engineering Technician","",NA,NA
"168","168","Healthcare Science Practitioner","",NA,NA
"169","169","Chef De Partie","",NA,NA
"170","170","Registered Nurse","",NA,NA
"171","171","Construction Steel Fixer","",NA,NA
"172","172","Fishmonger","",NA,NA
"173","173","Building Services Engineering Craftsperson","",NA,NA
"174","174","Junior Content Producer","",NA,NA
"175","175","Mineral Processing Mobile and Static Plant Operator","",NA,NA
"176","176","Accident Repair Technician","",NA,NA
"177","177","Baker","",NA,NA
"178","178","Building Services Design Technician","",NA,NA
"179","179","Animal Technologist","",NA,NA
"180","180","Arborist","",NA,NA
"181","181","Horticulture and Landscape Operative","",NA,NA
"182","182","Forest Operative","",NA,NA
"183","183","Bespoke Saddler","",NA,NA
"184","184","Food Industry Technical Professional","",NA,NA
"185","185","Building Services Engineering Ductwork Craftsperson","",NA,NA
"186","186","Project Controls Technician","",NA,NA
"187","187","Metrology Technician","",NA,NA
"188","188","Rail Infrastructure Operator","",NA,NA
"189","189","Passenger Transport Driver - bus, coach and rail","",NA,NA
"190","190","HR Consultant / Partner","",NA,NA
"191","191","HR Support","",NA,NA
"192","192","Building Services Engineering Ductwork Installer","",NA,NA
"193","193","Building Services Engineering Service and Maintenance Engineer","",NA,NA
"194","194","Building Services Engineering Ventilation Hygiene Technician","",NA,NA
"195","195","Digital Engineering Technician","",NA,NA
"196","196","Business Administrator","",NA,NA
"197","197","Organ Builder","",NA,NA
"198","198","Building Services Design Engineer","",NA,NA
"199","199","Civil Engineering Technician","",NA,NA
"200","200","Civil Engineer","",NA,NA
"201","201","Process Automation Engineer","",NA,NA
"202","202","Engineering Construction Pipefitter","",NA,NA
"203","203","Teacher","",NA,NA
"204","204","Senior Leader Master's Degree","",NA,NA
"205","204a","Accountancy Taxation Professional","",NA,NA
"206","205","Senior Insurance Professional","",NA,NA
"207","206","Passenger transport onboard and station team member","",NA,NA
"208","207","Non-Destructive Testing Engineer","",NA,NA
"209","208","Nursing Associate","",NA,NA
"210","209","Supply Chain Practitioner","",NA,NA
"211","210","Motor Finance Specialist","",NA,NA
"212","211","Probate Technician","",NA,NA
"213","212","Electrical, Electronic Product Service and Installation Engineer","",NA,NA
"214","213","Financial Services Professional","",NA,NA
"215","214","Passenger Transport Operations Manager","",NA,NA
"216","215","Community Activator Coach","",NA,NA
"217","216","Electrical Power Networks Engineer","",NA,NA
"218","217","Recruitment Consultant","",NA,NA
"219","218","Recruitment Resourcer","",NA,NA
"220","219","Lifting Technician","",NA,NA
"221","220","High Speed Rail and Infrastructure Technician","",NA,NA
"222","221","Laboratory Scientist","",NA,NA
"223","222","Commercial Procurement and Supply","",NA,NA
"224","223","Creative Venue Technician","",NA,NA
"225","224","Leisure Duty Manager","",NA,NA
"226","225","Plumbing and Domestic Heating Technician","",NA,NA
"227","226","Marine Engineer","",NA,NA
"228","227","Nuclear Operative","",NA,NA
"231","230","Tunnelling Operative","",NA,NA
"232","231","Policy Officer","",NA,NA
"233","232","School Business Professional","",NA,NA
"234","250","Technician Scientist ","",NA,NA
"235","251","Science Manufacturing Process Operative","",NA,NA
"236","253","Science Industry Process/Plant Engineer ","",NA,NA
"237","254","Laboratory Scientist (Degree) ","",NA,NA
